column	year	season_type	total_records	null_count	pct_null	zero_count	pct_zero	non_zero_count	pct_non_zero	Verdict
d_close_2fgm	2021-22	1	255	1	0.39	1	0.39	253	99.22	need to rectify these nulls; should either be 0s or legit values
d_close_2fgm	2022-23	1	311	2	0.64	1	0.32	308	99.04	need to rectify these nulls; should either be 0s or legit values
d_close_2fgm	2022-23	2	151	1	0.66	9	5.96	141	93.38	need to rectify these nulls; should either be 0s or legit values
d_close_2fgm	2024-25	1	443	1	0.23	4	0.9	438	98.87	need to rectify these nulls; should either be 0s or legit values
d_close_2fga	2021-22	1	255	1	0.39	1	0.39	253	99.22	need to rectify these nulls; should either be 0s or legit values
d_close_2fga	2022-23	1	311	2	0.64	1	0.32	308	99.04	need to rectify these nulls; should either be 0s or legit values
d_close_2fga	2022-23	2	151	1	0.66	6	3.97	144	95.36	need to rectify these nulls; should either be 0s or legit values
d_close_2fga	2024-25	1	443	1	0.23	3	0.68	439	99.1	need to rectify these nulls; should either be 0s or legit values
d_2fgm	2021-22	1	255	1	0.39	0	0	254	99.61	need to rectify these nulls; should either be 0s or legit values
d_2fgm	2022-23	1	311	2	0.64	1	0.32	308	99.04	need to rectify these nulls; should either be 0s or legit values
d_2fgm	2022-23	2	151	1	0.66	8	5.3	142	94.04	need to rectify these nulls; should either be 0s or legit values
d_2fgm	2024-25	1	443	1	0.23	3	0.68	439	99.1	need to rectify these nulls; should either be 0s or legit values
d_2fga	2021-22	1	255	1	0.39	0	0	254	99.61	need to rectify these nulls; should either be 0s or legit values
d_2fga	2022-23	1	311	2	0.64	1	0.32	308	99.04	need to rectify these nulls; should either be 0s or legit values
d_2fga	2022-23	2	151	1	0.66	5	3.31	145	96.03	need to rectify these nulls; should either be 0s or legit values
d_2fga	2024-25	1	443	1	0.23	2	0.45	440	99.32	need to rectify these nulls; should either be 0s or legit values
d_3fgm	2021-22	1	255	1	0.39	0	0	254	99.61	need to rectify these nulls; should either be 0s or legit values
d_3fgm	2022-23	1	311	2	0.64	1	0.32	308	99.04	need to rectify these nulls; should either be 0s or legit values
d_3fgm	2022-23	2	151	1	0.66	15	9.93	135	89.4	need to rectify these nulls; should either be 0s or legit values
d_3fgm	2024-25	1	443	1	0.23	5	1.13	437	98.65	need to rectify these nulls; should either be 0s or legit values
d_3fga	2021-22	1	255	1	0.39	0	0	254	99.61	need to rectify these nulls; should either be 0s or legit values
d_3fga	2022-23	1	311	2	0.64	0	0	309	99.36	need to rectify these nulls; should either be 0s or legit values
d_3fga	2022-23	2	151	1	0.66	5	3.31	145	96.03	need to rectify these nulls; should either be 0s or legit values
d_3fga	2024-25	1	443	1	0.23	2	0.45	440	99.32	need to rectify these nulls; should either be 0s or legit values
